Team,Winrate,K/D Ratio,Average Damage,Average Combat Score,Average First Kills,Average First Deaths Per Round
Team Vitality,57.14285714285714,1.0289495798319328,127.76050420168067,196.64705882352942,5.264705882352941,0.10836134453781515
GIANTX,25.0,0.8881879194630873,122.39597315436242,184.18120805369128,4.342281879194631,0.11255033557046983
BBL Esports,61.53846153846154,1.0707462686567164,131.335,200.42,5.537313432835821,0.10550000000000002
Karmine Corp,33.33333333333333,1.1620454545454544,128.375,194.5965909090909,5.142045454545454,0.10630681818181818
Team Heretics,69.23076923076923,1.083391304347826,130.8695652173913,198.2608695652174,5.647826086956521,0.09378260869565219
Apeks,0.0,0.955340909090909,129.125,196.9090909090909,5.261363636363637,0.11647727272727271
FUT Esports,50.0,1.0048792270531401,126.64039408866995,193.13793103448276,5.106280193236715,0.10408866995073893
KOI,14.285714285714285,0.8925531914893616,121.29787234042553,182.354609929078,4.368794326241135,0.11177304964539007
FNATIC,76.92307692307693,1.1738297872340426,136.31489361702128,206.56170212765957,6.259574468085106,0.09646808510638298
Natus Vincere,40.0,1.0350961538461538,126.17307692307692,189.9471153846154,5.0576923076923075,0.09860576923076923
Team Liquid,65.0,1.1005511811023623,133.748031496063,202.6482939632546,6.1128608923884515,0.09055118110236221
Gentle Mates,33.33333333333333,0.9340624999999999,119.31875,181.09375,4.95,0.11068750000000001
DetonatioN FocusMe,22.22222222222222,0.8688571428571428,120.04571428571428,182.2057142857143,3.9828571428571427,0.11240000000000001
Global Esports,25.0,0.9406382978723404,125.18439716312056,188.74468085106383,3.851063829787234,0.10716312056737588
T1,60.0,1.0557142857142858,131.54187192118226,199.55665024630542,6.157635467980295,0.1026847290640394
ZETA DIVISION,28.57142857142857,0.8981818181818183,122.39090909090909,186.1090909090909,4.945454545454545,0.09836363636363636
DRX,68.75,1.116829268292683,131.28048780487805,200.58536585365854,6.995934959349594,0.09162601626016262
Paper Rex,50.0,1.1129223744292238,134.23744292237444,203.63013698630138,5.684931506849315,0.0965296803652968
TALON,50.0,0.9524444444444444,121.42222222222222,184.02777777777777,5.316666666666666,0.11461111111111111
Team Secret,14.285714285714285,0.9429375,127.325,191.90625,4.29375,0.10287500000000001
Gen.G,64.28571428571429,1.1806730769230769,134.75,207.33173076923077,6.451923076923077,0.1051442307692308
BOOM Esports,55.55555555555556,1.0731901840490798,130.69938650306747,200.85889570552146,5.6503067484662575,0.0954601226993865
Nongshim RedForce,54.54545454545454,1.0829577464788733,126.8169014084507,194.2394366197183,5.929577464788732,0.08253521126760563
Rex Regum Qeon,61.53846153846154,1.0824436090225562,129.093984962406,196.39097744360902,6.2330827067669174,0.09774436090225563
Xi Lai Gaming,78.57142857142857,1.1730708661417322,135.7913043478261,205.5748031496063,2.6968503937007875,0.09530434782608695
Bilibili Gaming,64.28571428571429,1.1158823529411765,134.16783216783216,202.4291338582677,3.8784313725490196,0.09467105263157895
Trace Esports,53.84615384615385,1.0160714285714285,114.90721649484536,193.1409090909091,2.205357142857143,0.10820754716981133
All Gamers,0.0,0.8169999999999998,112.25,181.88888888888889,0.6,0.098
Dragon Ranger Gaming,53.84615384615385,1.0355223880597013,137.8,203.70646766169153,4.313432835820896,0.12510000000000002
Nova Esports,45.45454545454545,0.9747398843930636,120.0,197.73410404624278,1.3872832369942196,0.12323076923076923
TYLOO,14.285714285714285,0.9828985507246376,135.96774193548387,193.4927536231884,2.1449275362318843,0.10774193548387097
EDward Gaming,68.42105263157895,1.119296636085627,136.12222222222223,207.96941896024464,3.470948012232416,0.09816666666666668
JDG Esports,25.0,0.9989349112426035,124.12676056338029,191.92307692307693,1.7337278106508875,0.1
Wolves Esports,45.45454545454545,0.9931707317073171,134.3801652892562,197.10731707317072,3.0390243902439025,0.10614754098360657
FunPlus Phoenix,37.5,1.1270229007633588,127.15384615384616,206.45801526717557,1.4274809160305344,0.12435897435897435
Titan Esports Club,40.0,0.9449305555555555,125.09836065573771,190.02083333333334,1.9097222222222223,0.08557377049180329
Cloud9,40.0,1.0083597883597886,127.73015873015873,194.34391534391534,5.1798941798941796,0.09862433862433863
NRG,33.33333333333333,1.1010752688172043,133.6021505376344,201.96774193548387,4.93010752688172,0.09908602150537636
KRÜ Esports,58.333333333333336,1.1025454545454545,131.50454545454545,200.44545454545454,5.290909090909091,0.09436363636363639
LOUD,22.22222222222222,1.0007792207792208,129.87012987012986,194.25974025974025,5.746753246753247,0.10331168831168831
G2 Esports,85.0,1.1412099644128113,133.7473309608541,205.1103202846975,7.907473309608541,0.09227758007117437
FURIA,12.5,0.9130882352941176,125.47058823529412,189.60294117647058,5.867647058823529,0.1458823529411765
MIBR,66.66666666666666,1.0302714932126698,128.42986425339367,195.45701357466064,7.0542986425339365,0.10552036199095023
LEVIATÁN,25.0,1.0101492537313435,131.38805970149255,195.79850746268656,4.3059701492537314,0.1119402985074627
2Game Esports,14.285714285714285,0.8161538461538461,119.14423076923077,179.6153846153846,3.3173076923076925,0.09384615384615386
Evil Geniuses,54.54545454545454,0.9965816326530613,130.87244897959184,198.09183673469389,5.0,0.10428571428571429
Sentinels,62.5,1.065253164556962,130.17088607594937,198.3006329113924,5.8575949367088604,0.09800632911392407
100 Thieves,45.45454545454545,1.0299069767441862,128.17209302325583,194.13023255813954,5.195348837209302,0.09967441860465119
